Description,Category
MOBILE PAYMENT - THANK YOU,Payments
CHEWY.COM           DANIA BEACH,Pets
AplPay CHEWY.COM    (800)672-4399       FL,Pets
YOUR CASH REWARD/REFUND IS,Credits
MOBILE PAYMENT - THANK YOU,Payments
7-ELEVEN 36621 00073AUSTIN              TX,Gas/Snacks
NI CAFE 4197        AUSTIN              TX,Food/Drinks
NI CAFE 4197        AUSTIN              TX,Food/Drinks
NI CAFE 4197        AUSTIN              TX,Food/Drinks
H-E-B               AUSTIN              TX,Groceries
YOUR CASH REWARD/REFUND IS,Credits
MOBILE PAYMENT - THANK YOU,Payments
H-E-B               AUSTIN              TX,Groceries
YARD HOUSE 836083667AUSTIN              TX,Food/Drinks
VERIZON WIRELESS    AUSTIN              TX,Bills
H-E-B               AUSTIN              TX,Groceries
MOBILE PAYMENT - THANK YOU,Payments
H-E-B               AUSTIN              TX,Groceries
TARGET        024091AUSTIN              TX,Shopping
AplPay TST* CABO BOBAUSTIN              TX,Food/Drinks
AplPay UBER EATS    SAN FRANCISCO       CA,Food/Drinks
MOBILE PAYMENT - THANK YOU,Payments
H-E-B               AUSTIN              TX,Groceries
MOBILE PAYMENT - THANK YOU,Payments
H-E-B               AUSTIN              TX,Groceries
MOBILE PAYMENT - THANK YOU,Payments
H-E-B               AUSTIN              TX,Groceries
H-E-B               AUSTIN              TX,Groceries
H-E-B               AUSTIN              TX,Groceries
H-E-B               AUSTIN              TX,Groceries
MOBILE PAYMENT - THANK YOU,Payments
H-E-B               AUSTIN              TX,Groceries
H-E-B               AUSTIN              TX,Groceries
MOBILE PAYMENT - THANK YOU,Payments
H-E-B               AUSTIN              TX,Groceries
MOBILE PAYMENT - THANK YOU,Payments
H-E-B               AUSTIN              TX,Groceries
MOBILE PAYMENT - THANK YOU,Payments
TRADER JOE'S #453 QPAUSTIN              TX,Groceries
MOBILE PAYMENT - THANK YOU,Payments
TRADER JOE'S #453 QPAUSTIN              TX,Groceries
H-E-B #404 000000000AUSTIN              TX,Groceries
H-E-B               AUSTIN              TX,Groceries
K1XL:0004 250.00 Credit,Credits
MOBILE PAYMENT - THANK YOU,Payments
WHOLE FOODS MARKET  AUSTIN              TX,Groceries
MOBILE PAYMENT - THANK YOU,Payments
H-E-B               AUSTIN              TX,Groceries
MOBILE PAYMENT - THANK YOU,Payments
AplPay INSTACART    SAN FRANCISCO       CA,Groceries
12681 OLD FM 2243 12LEANDER             TX,Miscellaneous
MOBILE PAYMENT - THANK YOU,Payments
AplPay INSTACART    SAN FRANCISCO       CA,Groceries
MOBILE PAYMENT - THANK YOU,Payments
H-E-B               AUSTIN              TX,Groceries
MOBILE PAYMENT - THANK YOU,Payments
ESCARPMENT EXXON 094AUSTIN              TX,Gas/Snacks
H-E-B               AUSTIN              TX,Groceries
H-E-B               AUSTIN              TX,Groceries
JIMMY JOHNS - 2270 0AUSTIN              TX,Food/Drinks
MOBILE PAYMENT - THANK YOU,Payments
WALGREENS           AUSTIN              TX,Groceries
7-ELEVEN 36799 00073NEW YORK            NY,Gas/Snacks
BENS PIZZA 021770021NEW YORK            NY,Food/Drinks
FIREHOUSE SUBS B22 FNEWARK              NJ,Food/Drinks
RESTAURANT SELF-SERVSan Francisco       CA,Food/Drinks
STANDARD HIGH LINE FNEW YORK            NY,Miscellaneous
STANDARD HIGH LINE FNEW YORK            NY,Miscellaneous
TST* MIGHTY QUINNS BNEW YORK            NY,Food/Drinks
99 CENT DELICIOUS PINew York            NY,Food/Drinks
CVS/PHARMACY #10613 NEW YORK            NY,Groceries
HAIR OF THE DOG     NEW YORK            NY,Food/Drinks
LASHIN FOOD         NEW YORK            NY,Food/Drinks
ONE WORLD OBSY CAF  NEW YORK            NY,Food/Drinks
ONE WORLD OBSY KIOSKNEW YORK            NY,Entertainment
BARRELMORE 739290001NEW YORK            NY,Food/Drinks
STARBUCKS STORE 1902NEW YORK            NY,Food/Drinks
TST* PROVA PIZZABAR NEW YORK            NY,Food/Drinks
7BARCLAYS CTRB 0000 BROOKLYN            NY,Miscellaneous
AUS 3185C BARTON SPRAustin              TX,Miscellaneous
AplPay TST* VIA313 -AUSTIN              TX,Food/Drinks
KRISPY KREME #1937  NEW YORK            NY,Food/Drinks
METROCARD MACHINE   NEW YORK            NY,Travel
METROCARD MACHINE   NEW YORK            NY,Travel
SPIRIT AIRLINES DIRECT SALES,Travel
ESCARPMENT EXXON 094AUSTIN              TX,Gas/Snacks
JACK IN THE BOX     AUSTIN              TX,Food/Drinks
6511 BRUSH COUNTRY RAUSTIN              TX,Miscellaneous
BUFORDS             AUSTIN              TX,Food/Drinks
MOBILE PAYMENT - THANK YOU,Payments
ARAB COWBOY CAFE HOOAustin              TX,Entertainment
CHEBA HUT - AUSTIN 0AUSTIN              TX,Food/Drinks
THE LOCAL PUB AND PAAUSTIN              TX,Food/Drinks
6412 W HIGHWAY 290 5AUSTIN              TX,Miscellaneous
THUNDERCLOUD        Bee Cave            TX,Food/Drinks
TOTAL WINE AND MORE AUSTIN              TX,Groceries
H-E-B #404 000000000AUSTIN              TX,Groceries
AplPay TYLERCHILDERSCHATTANOOGA         TN,Entertainment
MOBILE PAYMENT - THANK YOU,Payments
MOBILE PAYMENT - THANK YOU,Payments
BUNGALOW 0000       AUSTIN              TX,Food/Drinks
EXXONMOBIL 4804     BEE CAVES           TX,Gas/Snacks
EXXONMOBIL 4804     BEE CAVES           TX,Gas/Snacks
H-E-B               AUSTIN              TX,Groceries
EXXONMOBIL 9987     AUSTIN              TX,Gas/Snacks
MOBILE PAYMENT - THANK YOU,Payments
ARAB COWBOY CAFE HOOAustin              TX,Entertainment
MOBILE PAYMENT - THANK YOU,Payments
P. Terry's Burger StAustin              TX,Food/Drinks
CIRCLE K #2741307 00AUSTIN              TX,Gas/Snacks
CIRCLE K #2741307 00AUSTIN              TX,Gas/Snacks
FIRESTONE285927     AUSTIN              TX,Automotive
ESCARPMENT EXXON 094AUSTIN              TX,Gas/Snacks
H-E-B #765 000000000AUSTIN              TX,Groceries
JIMMY JOHNS - 2270 0AUSTIN              TX,Food/Drinks
CHEBA HUT - AUSTIN 0AUSTIN              TX,Food/Drinks
ESCARPMENT EXXON 094AUSTIN              TX,Gas/Snacks
JIMMY JOHNS # 365 00AUSTIN              TX,Food/Drinks
