Description,Category
Payment Thank You-Mobile,Payments
Payment Thank You-Mobile,Payments
SCHLOTZSKY'S 1103,Food/Drinks
CHEVRON 0381691,Gas/Snacks
TOYOTA OF CEDAR PARK,Automotive
Payment Thank You-Mobile,Payments
DD DOORDASH SUBWAY,Food/Drinks
CHEVRON 0381691,Gas/Snacks
H-E-B #031,Groceries
SHELL OIL 57543321004,Gas/Snacks
LA FITNESS,Health
TXTAG 888 468 9824,Travel
TST* THE ARISTOCRAT LOUNG,Food/Drinks
Payment Thank You-Mobile,Payments
SHELL OIL 57542085402,Gas/Snacks
DD DOORDASH P.TERRYSB,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
Payment Thank You-Mobile,Payments
VETSOURCE,Pets
DD DOORDASH SUBWAY,Food/Drinks
Payment Thank You-Mobile,Payments
DD DOORDASH TORCHYSTA,Food/Drinks
H-E-B  #202,Groceries
CHEVRON 0381691,Gas/Snacks
CHEVRON 0381691,Gas/Snacks
7-ELEVEN 36592,Gas/Snacks
Payment Thank You-Mobile,Payments
EXXON 7-ELEVEN 36592,Gas/Snacks
THE LUCKY DUCK,Food/Drinks
HILTON CANNON AND BELLE,Food/Drinks
DEEP EDDY VODKA,Food/Drinks
COUSINS MAINE LOBSTER AUS,Food/Drinks
GRIMALDI'S PIZZA 30310,Food/Drinks
Payment Thank You-Mobile,Payments
Payment Thank You-Mobile,Payments
H-E-B  #202,Groceries
Payment Thank You-Mobile,Payments
CHEVRON 0381691,Gas/Snacks
H-E-B  #202,Groceries
CHEVRON 0381691,Gas/Snacks
DD DOORDASH SUBWAY,Food/Drinks
Payment Thank You-Mobile,Payments
FGTTWOSTEPINN,Entertainment
CAVENDERS BOOT 24,Shopping
TARGET        00024091,Shopping
MCDONALD'S F1116,Food/Drinks
7-ELEVEN 36585,Gas/Snacks
DD DOORDASH SUBWAY,Food/Drinks
Payment Thank You-Mobile,Payments
SUSHI JUNAI 2,Food/Drinks
H-E-B  #202,Groceries
Payment Thank You-Mobile,Payments
SQ *COMPANION TATTOO,Shopping
CHEVRON 0381691,Gas/Snacks
DD DOORDASH SUBWAY,Food/Drinks
DD *DOORDASH FIREHOUSE,Food/Drinks
CHEWY.COM,Pets
Payment Thank You-Mobile,Payments
7-ELEVEN 36592,Gas/Snacks
JERSEY MIKES 15048,Food/Drinks
Payment Thank You-Mobile,Payments
CHEVRON 0381691,Gas/Snacks
TXTAG 888 468 9824,Travel
TXTAG 888 468 9824,Travel
CHEVRON 0381691,Gas/Snacks
Payment Thank You-Mobile,Payments
CHEVRON 0381691,Gas/Snacks
H-E-B  #202,Groceries
7-ELEVEN 36565,Gas/Snacks
ISM  INC. DBA AIRUP,Food/Drinks
CHEVRON 0381691,Gas/Snacks
JERSEY MIKES 15048,Food/Drinks
DD DOORDASH TACOBELL,Food/Drinks
DD DOORDASH SUBWAY,Food/Drinks
H-E-B  #224,Groceries
