Description,Category
INTERNET PAYMENT - THANK YOU,Payments
AUTOMATIC STATEMENT CREDIT,Credits
EXXONMOBIL BEE CAVES TX,Gas/Snacks
JERSEY MIKES 15010 AUSTIN TX,Food/Drinks
P. TERRYS STAND #6 AUSTIN TX02201R,Food/Drinks
MOMA ADMISSION TICKETS NEW YORK NY,Entertainment
INTERNET PAYMENT - THANK YOU,Payments
NYCOX PMS NEW YORK NY,Travel
INTERNET PAYMENT - THANK YOU,Payments
NYCOX PMS 2129676699 NY,Miscellaneous
P TERRYS BURGER STAND 17 PFLUGERVILLE TX,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
ANYTHING'S BAKED POTATO AUSTIN TX,Food/Drinks
BUFORDS AUSTIN TX,Food/Drinks
BUFORDS AUSTIN TX,Food/Drinks
CHEBA HUT - AUSTIN AUSTIN TX,Food/Drinks
SQ *STONY'S PIZZA CART AUSTIN TX0002305843015273013457,Food/Drinks
SQ *STONY'S PIZZA CART AUSTIN TX0002305843015272992731,Food/Drinks
7-ELEVEN 16996 AUSTIN TX,Gas/Snacks
BACK LOT AUSTIN TX,Food/Drinks
JIMMY JOHNS - 2270 AUSTIN TX,Food/Drinks
P. TERRYS STAND #3 AUSTIN TX00687R,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
JIMMY JOHNS - 2270 AUSTIN TX,Food/Drinks
PANDA EXPRESS 1651 AUSTIN TX,Food/Drinks
JIMMY JOHNS - 2270 AUSTIN TX,Food/Drinks
FIREHOUSE SUBS 0362 QSR AUSTIN TX,Food/Drinks
TACO BELL #033691 LEANDER TX,Food/Drinks
LAYLAS NASHVILLE TN,Food/Drinks
LAYLAS NASHVILLE TN,Food/Drinks
SHELL12508189003 LEANDER TX,Gas/Snacks
P. TERRYS STAND #3 AUSTIN TX01418R,Food/Drinks
FIREHOUSE SUBS 0362 QSR AUSTIN TX,Food/Drinks
TOMLINSONS DRIPPING SP AUSTIN TX01633R,Pets
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
MEAN EYED CAT AUSTIN TX,Food/Drinks
AUTOMATIC STATEMENT CREDIT,Credits
EXXONMOBIL AUSTIN TX,Gas/Snacks
INTERNET PAYMENT - THANK YOU,Payments
CHIPOTLE 3660 AUSTIN TX,Food/Drinks
EXXONMOBIL AUSTIN TX,Gas/Snacks
MEAN EYED CAT AUSTIN TX,Food/Drinks
TACO BELL #033691 LEANDER TX,Food/Drinks
SQ *BEYOND THE DOG AUS GOSQ.COM TXAPPLE PAY ENDING IN 13270001152921511222663230,Services
INTERNET PAYMENT - THANK YOU,Payments
INTUIT *TURBOTAX CL.INTUIT.COMCA28110G1648586270759HRJ,Services
CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 1327PMT-GZ4G2PR1R7,Pets
VCA ANIMAL HOSPITALS 3104427264 CAAPPLE PAY ENDING IN 1327,Pets
WALGREENS #4761 AUSTIN TX,Groceries
RAISING CANE'S #115 CEDAR PARK TX,Food/Drinks
TST* AUSTIN CIDERCADE AUSTIN TX,Food/Drinks
P. TERRYS STAND #3 AUSTIN TX00244R,Food/Drinks
INTERNET PAYMENT - THANK YOU,Payments
CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 1327PMT-AY7HK9S4D0,Pets
SQ *BEYOND THE DOG AUS GOSQ.COM TXAPPLE PAY ENDING IN 13270002305843015440082739,Services
EXXONMOBIL AUSTIN TX,Gas/Snacks
INTERNET PAYMENT - THANK YOU,Payments
SHELL57546016106 AUSTIN TX,Gas/Snacks
CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 1327PMT-CL5T2RW3VY,Pets
INTERNET PAYMENT - THANK YOU,Payments
KRISPY KREME #130 AUSTIN TX01664R,Food/Drinks
FIREHOUSE SUBS 0362 QSR AUSTIN TX,Food/Drinks
AUTOMATIC STATEMENT CREDIT,Credits
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
FIREHOUSE SUBS 0362 QSR AUSTIN TX,Food/Drinks
INTERNET PAYMENT - THANK YOU,Payments
P. TERRYS STAND #3 AUSTIN TX02243R,Food/Drinks
CENTRAL MARKET #061 AUSTIN TX,Groceries
JIMMY JOHNS - 2270 AUSTIN TX,Food/Drinks
MCDONALD'S F7877 AUSTIN TX,Food/Drinks
P. TERRYS STAND #3 AUSTIN TX02456R,Food/Drinks
SCENIC BROOK INC AUSTIN TX,Miscellaneous
INTERNET PAYMENT - THANK YOU,Payments
INTERNET PAYMENT - THANK YOU,Payments
P. TERRYS STAND #3 AUSTIN TX02820R,Food/Drinks
EXXONMOBIL AUSTIN TX,Gas/Snacks
SP WHISKEY BENT HAT 9035399748 TX,Shopping
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
FIREHOUSE SUBS 0362 QSR AUSTIN TX,Food/Drinks
TST* MEAN EYED CAT AUSTIN TX,Food/Drinks
MCDONALD'S F8056 BEE CAVE TX,Food/Drinks
INTERNET PAYMENT - THANK YOU,Payments
EXXONMOBIL AUSTIN TX,Gas/Snacks
7-ELEVEN 38267 AUSTIN TX,Gas/Snacks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
FIV*RIO MART AUSTIN TX,Groceries
INTERNET PAYMENT - THANK YOU,Payments
JERSEY MIKES 15010 AUSTIN TX,Food/Drinks
SHELL57546016106 AUSTIN TX,Gas/Snacks
ICENHAUER'S AUSTIN TX,Food/Drinks
SQ *BURRO CHEESE KITCH AUSTIN TX0001152921511371987090,Food/Drinks
TST* CLIVE BAR AUSTIN TX,Food/Drinks
TST* DONUT TACO PALACE AUSTIN TX00014375006988215260AA,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
POPEYES 11676 / 308 AUSTIN TX,Food/Drinks
INTERNET PAYMENT - THANK YOU,Payments
JIMMY JOHNS - 2270 AUSTIN TX,Food/Drinks
CHEVRON 0175485 AUSTIN TX00175485 8518544 I,Gas/Snacks
CHEVRON 0175485 AUSTIN TX00175485 8518541 I,Gas/Snacks
POTBELLY #202 AUSTIN TX01354R,Food/Drinks
SHELL57546016106 AUSTIN TX,Gas/Snacks
INTERNET PAYMENT - THANK YOU,Payments
TST* CLIVE BAR AUSTIN TX00062814007063522913AA,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
SHOT VET 407-792-0384 FL,Pets
CHEWY.COM 800-672-4399 FLAPPLE PAY ENDING IN 1327PMT-5LO1SDBJ7Q,Pets
P. TERRYS STAND #3 AUSTIN TX01787R,Food/Drinks
INTERNET PAYMENT - THANK YOU,Payments
WALGREENS #4761 AUSTIN TX,Groceries
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
AUTOMATIC STATEMENT CREDIT,Credits
EXXONMOBIL SPICEWOOD TX,Gas/Snacks
INTERNET PAYMENT - THANK YOU,Payments
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
JIMMY JOHNS - 2270 AUSTIN TX,Food/Drinks
JIMMY JOHNS - 2270 AUSTIN TX,Food/Drinks
SIGNATURE IH 35 AUSTIN TX,Gas/Snacks
INTERNET PAYMENT - THANK YOU,Payments
P. TERRYS STAND #3 AUSTIN TX02401R,Food/Drinks
JIMMY JOHNS - 2270 AUSTIN TX,Food/Drinks
P. TERRYS STAND #3 AUSTIN TX02523R,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
FIREHOUSE SUBS 0362 QSR AUSTIN TX,Food/Drinks
SHOT VET LAKE MARY FL,Pets
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
JIMMY JOHNS - 2270 AUSTIN TX,Food/Drinks
SHELL12508189003 LEANDER TX,Gas/Snacks
EZ WAY FOOD STORE AUSTIN TXL11464028,Gas/Snacks
SQ *TEXAS STATE TUBES MARTINDALE TX0001152921511452535435,Entertainment
TST* DE NADA CANTINA AUSTIN TX00014809007250424554AA,Food/Drinks
TST* DE NADA CANTINA AUSTIN TX00014809007250997305AA,Food/Drinks
ESCARPMENT EXXON AUSTIN TX,Gas/Snacks
