Description,Category
12/29 UBER   *EATS,Food/Drinks
12/28 UBER   *EATS,Food/Drinks
12/26 APPLE.COM/BILL,Entertainment
VENMO,Transfers
VENMO,Transfers
DISCOVER,Payments
12/23 SONIC DRIVE IN#,Food/Drinks
12/23 UBER   *EATS,Food/Drinks
MOBILE XFR DB,Transfers
12/21 UBER   *EATS,Food/Drinks
12/21 TEXASGASSERVICE,Bills
12/21 UBER   *EATS,Food/Drinks
ASF DBA Insperi PAYROLL    023354010307372,Income
12/20 DOMINO'S 6613,Food/Drinks
12/19 H-E-B  #218,Groceries
12/19 GWCTX 1241,Miscellaneous
12/19 Amazon.com*GX1P,Shopping
12/18 LEMONADE I* LEM,Food/Drinks
12/18 UBER   *EATS,Food/Drinks
VENMO,Transfers
MOBILE PAYMENT,Payments
MOBILE XFR DB,Transfers
12/17 APPLE.COM/BILL,Entertainment
12/17 UBER   *EATS,Food/Drinks
12/17 NETFLIX COM,Entertainment
12/16 TARGET        0,Shopping
12/17 H-E-B  #218,Groceries
ASF DBA Insperi PAYROLL    023348011465315,Income
12/14 Amazon.com*9Z29,Shopping
12/14 UBER   *EATS,Food/Drinks
MOBILE XFR DB,Transfers
12/12 UBER   EATS,Food/Drinks
12/13 BIG LOTS STORES,Shopping
DISCOVER,Payments
12/12 APPLE.COM/BILL,Entertainment
12/11 UBER   EATS,Food/Drinks
12/10 FEDEX OFFICE 80,Miscellaneous
12/11 DOLLAR TREE,Shopping
12/10 WALGREENS #6189,Groceries
12/08 UBER   EATS,Food/Drinks
12/09 SQ *CIDERCADE A,Food/Drinks
12/10 SQ *CIDERCADE A,Food/Drinks
12/10 H-E-B  #218,Groceries
12/09 ACTIV N FIT,Health
City of Austin T,Bills
12/07 UBER   *EATS,Food/Drinks
ASF DBA Insperi PAYROLL    023340008998993,Income
12/03 UBER   *EATS,Food/Drinks
12/01 RPS*SULLIVAN RD,Rent/Mortgage
11/29 WHATABURGER 347,Food/Drinks
11/29 URBANOUTFITTERS,Shopping
MOBILE XFR CR,Transfers
MOBILE XFR CR,Transfers
11/27 URBANOUTFITTERS,Shopping
11/27 URBANOUTFITTERS,Shopping
MOBILE XFR CR,Transfers
11/29 SHEINUSServices,Shopping
DISCOVER,Payments
11/27 H-E-B  #218,Groceries
11/27 STARBUCKS STORE,Food/Drinks
11/27 H-E-B  #218,Groceries
11/27 SP SAINTBERNARD,Shopping
MOBILE XFR DB,Transfers
11/26 APPLE.COM/BILL,Entertainment
11/24 TOM THUMB #1972,Groceries
11/25 H-E-B GAS/CAR W,Groceries
11/25 NORDRACKCOM8889,Shopping
11/26 UBER   *EATS,Food/Drinks
11/24 LITTLE CZECH BA,Food/Drinks
11/24 CHIPOTLE 0262,Food/Drinks
11/22 NORDRACKCOM8889,Shopping
11/24 SQ *RIOT AND CO,Shopping
11/22 BUC-EE'S #35,Groceries
ASF DBA Insperi PAYROLL    023325006713494,Income
11/21 TEXASGASSERVICE,Bills
11/20 DOLLAR TREE,Shopping
11/20 H-E-B  #218,Groceries
11/20 H-E-B GAS/CAR W,Groceries
VENMO,Transfers
11/17 APPLE.COM/BILL,Entertainment
11/19 CHIPOTLE 0262,Food/Drinks
11/18 LEMONADE I* LEM,Food/Drinks
11/19 UBER   *EATS,Food/Drinks
11/19 H-E-B  #218,Groceries
11/19 M VINCE NAIL SP,Services
11/17 TST* GARBOS LOB,Food/Drinks
11/17 H-E-B  #218,Groceries
11/17 MARY BETH HARR,Miscellaneous
11/17 GWCTX 1241,Miscellaneous
11/17 NETFLIX COM,Entertainment
11/16 H-E-B  #218,Groceries
